hospital_id,resource,max_surge
H173,ICU,2
H173,Ward,8
H174,ICU,2
H174,Ward,8
H175,ICU,2
H175,Ward,8
H176,ICU,8
H176,Ward,20
H177,ICU,5
H177,Ward,12
H178,ICU,5
H178,Ward,12
H179,ICU,2
H179,Ward,8
H180,ICU,2
H180,Ward,8
H181,ICU,2
H181,Ward,8
H182,ICU,2
H182,Ward,8
H183,ICU,8
H183,Ward,20
H184,ICU,5
H184,Ward,12
H185,ICU,5
H185,Ward,12
H186,ICU,2
H186,Ward,8
H187,ICU,2
H187,Ward,8
H188,ICU,2
H188,Ward,8
H189,ICU,2
H189,Ward,8
H190,ICU,8
H190,Ward,20
H191,ICU,5
H191,Ward,12
H192,ICU,5
H192,Ward,12
H193,ICU,2
H193,Ward,8
H194,ICU,2
H194,Ward,8
H195,ICU,2
H195,Ward,8
H196,ICU,2
H196,Ward,8
H197,ICU,8
H197,Ward,20
H198,ICU,5
H198,Ward,12
H199,ICU,5
H199,Ward,12
H200,ICU,2
H200,Ward,8
