hospital_id,hospital_name,hospital_type
H66,Meridian Regional H66,regional
H67,Meridian Community H67,community
H68,Meridian Community H68,community
H69,Meridian Community H69,community
H70,Meridian Community H70,community
H71,Meridian Tertiary H71,tertiary
H72,Meridian Regional H72,regional
H73,Meridian Regional H73,regional
H74,Meridian Community H74,community
H75,Meridian Community H75,community
H76,Meridian Community H76,community
H77,Meridian Community H77,community
H78,Meridian Tertiary H78,tertiary
H79,Meridian Regional H79,regional
H80,Meridian Regional H80,regional
H81,Meridian Community H81,community
H82,Meridian Community H82,community
H83,Meridian Community H83,community
H84,Meridian Community H84,community
H85,Meridian Tertiary H85,tertiary
H86,Meridian Regional H86,regional
H87,Meridian Regional H87,regional
H88,Meridian Community H88,community
H89,Meridian Community H89,community
H90,Meridian Community H90,community
H91,Meridian Community H91,community
H92,Meridian Tertiary H92,tertiary
H93,Meridian Regional H93,regional
H94,Meridian Regional H94,regional
H95,Meridian Community H95,community
H96,Meridian Community H96,community
H97,Meridian Community H97,community
H98,Meridian Community H98,community
H99,Meridian Tertiary H99,tertiary
H100,Meridian Regional H100,regional
H101,Meridian Regional H101,regional
H102,Meridian Community H102,community
H103,Meridian Community H103,community
H104,Meridian Community H104,community
H105,Meridian Community H105,community
H106,Meridian Tertiary H106,tertiary
H107,Meridian Regional H107,regional
H108,Meridian Regional H108,regional
H109,Meridian Community H109,community
H110,Meridian Community H110,community
H111,Meridian Community H111,community
H112,Meridian Community H112,community
H113,Meridian Tertiary H113,tertiary
H114,Meridian Regional H114,regional
H115,Meridian Regional H115,regional
H116,Meridian Community H116,community
H117,Meridian Community H117,community
H118,Meridian Community H118,community
H119,Meridian Community H119,community
H120,Meridian Tertiary H120,tertiary
H121,Meridian Regional H121,regional
H122,Meridian Regional H122,regional
H123,Meridian Community H123,community
H124,Meridian Community H124,community
H125,Meridian Community H125,community
H126,Meridian Community H126,community
H127,Meridian Tertiary H127,tertiary
H128,Meridian Regional H128,regional
H129,Meridian Regional H129,regional
H130,Meridian Community H130,community
H131,Meridian Community H131,community
H132,Meridian Community H132,community
H133,Meridian Community H133,community
H134,Meridian Tertiary H134,tertiary
H135,Meridian Regional H135,regional
H136,Meridian Regional H136,regional
H137,Meridian Community H137,community
H138,Meridian Community H138,community
H139,Meridian Community H139,community
H140,Meridian Community H140,community
H141,Meridian Tertiary H141,tertiary
H142,Meridian Regional H142,regional
H143,Meridian Regional H143,regional
H144,Meridian Community H144,community
H145,Meridian Community H145,community
H146,Meridian Community H146,community
H147,Meridian Community H147,community
H148,Meridian Tertiary H148,tertiary
H149,Meridian Regional H149,regional
H150,Meridian Regional H150,regional
H151,Meridian Community H151,community
H152,Meridian Community H152,community
H153,Meridian Community H153,community
H154,Meridian Community H154,community
H155,Meridian Tertiary H155,tertiary
H156,Meridian Regional H156,regional
H157,Meridian Regional H157,regional
H158,Meridian Community H158,community
H159,Meridian Community H159,community
H160,Meridian Community H160,community
H161,Meridian Community H161,community
H162,Meridian Tertiary H162,tertiary
H163,Meridian Regional H163,regional
H164,Meridian Regional H164,regional
H165,Meridian Community H165,community
H166,Meridian Community H166,community
H167,Meridian Community H167,community
H168,Meridian Community H168,community
H169,Meridian Tertiary H169,tertiary
H170,Meridian Regional H170,regional
H171,Meridian Regional H171,regional
H172,Meridian Community H172,community
H173,Meridian Community H173,community
H174,Meridian Community H174,community
H175,Meridian Community H175,community
H176,Meridian Tertiary H176,tertiary
H177,Meridian Regional H177,regional
H178,Meridian Regional H178,regional
H179,Meridian Community H179,community
H180,Meridian Community H180,community
H181,Meridian Community H181,community
H182,Meridian Community H182,community
H183,Meridian Tertiary H183,tertiary
H184,Meridian Regional H184,regional
H185,Meridian Regional H185,regional
H186,Meridian Community H186,community
H187,Meridian Community H187,community
H188,Meridian Community H188,community
H189,Meridian Community H189,community
H190,Meridian Tertiary H190,tertiary
H191,Meridian Regional H191,regional
H192,Meridian Regional H192,regional
H193,Meridian Community H193,community
H194,Meridian Community H194,community
H195,Meridian Community H195,community
H196,Meridian Community H196,community
H197,Meridian Tertiary H197,tertiary
H198,Meridian Regional H198,regional
H199,Meridian Regional H199,regional
H200,Meridian Community H200,community
