from_hospital,to_hospital,allowed,transfer_capacity,transfer_cost,transfer_time
H54,H50,1,2.0,15.0,1
H50,H54,1,8.0,12.0,1
H55,H50,1,2.0,15.0,1
H50,H55,1,8.0,12.0,1
H56,H50,1,2.0,15.0,1
H50,H56,1,8.0,12.0,1
H58,H57,1,4.0,15.0,1
H57,H58,1,8.0,12.0,1
H59,H57,1,4.0,15.0,1
H57,H59,1,8.0,12.0,1
H60,H57,1,2.0,15.0,1
H57,H60,1,8.0,12.0,1
H61,H57,1,2.0,15.0,1
H57,H61,1,8.0,12.0,1
H62,H57,1,2.0,15.0,1
H57,H62,1,8.0,12.0,1
H63,H57,1,2.0,15.0,1
H57,H63,1,8.0,12.0,1
H65,H64,1,4.0,15.0,1
H64,H65,1,8.0,12.0,1
H66,H64,1,4.0,15.0,1
H64,H66,1,8.0,12.0,1
H67,H64,1,2.0,15.0,1
H64,H67,1,8.0,12.0,1
H68,H64,1,2.0,15.0,1
H64,H68,1,8.0,12.0,1
H69,H64,1,2.0,15.0,1
H64,H69,1,8.0,12.0,1
H70,H64,1,2.0,15.0,1
H64,H70,1,8.0,12.0,1
H72,H71,1,4.0,15.0,1
H71,H72,1,8.0,12.0,1
H73,H71,1,4.0,15.0,1
H71,H73,1,8.0,12.0,1
H74,H71,1,2.0,15.0,1
H71,H74,1,8.0,12.0,1
H75,H71,1,2.0,15.0,1
H71,H75,1,8.0,12.0,1
H76,H71,1,2.0,15.0,1
H71,H76,1,8.0,12.0,1
H77,H71,1,2.0,15.0,1
H71,H77,1,8.0,12.0,1
H79,H78,1,4.0,15.0,1
H78,H79,1,8.0,12.0,1
H80,H78,1,4.0,15.0,1
H78,H80,1,8.0,12.0,1
H81,H78,1,2.0,15.0,1
H78,H81,1,8.0,12.0,1
H82,H78,1,2.0,15.0,1
H78,H82,1,8.0,12.0,1
H83,H78,1,2.0,15.0,1
H78,H83,1,8.0,12.0,1
H84,H78,1,2.0,15.0,1
H78,H84,1,8.0,12.0,1
H86,H85,1,4.0,15.0,1
H85,H86,1,8.0,12.0,1
H87,H85,1,4.0,15.0,1
H85,H87,1,8.0,12.0,1
H88,H85,1,2.0,15.0,1
H85,H88,1,8.0,12.0,1
H89,H85,1,2.0,15.0,1
H85,H89,1,8.0,12.0,1
H90,H85,1,2.0,15.0,1
H85,H90,1,8.0,12.0,1
H91,H85,1,2.0,15.0,1
H85,H91,1,8.0,12.0,1
H93,H92,1,4.0,15.0,1
H92,H93,1,8.0,12.0,1
H94,H92,1,4.0,15.0,1
H92,H94,1,8.0,12.0,1
H95,H92,1,2.0,15.0,1
H92,H95,1,8.0,12.0,1
H96,H92,1,2.0,15.0,1
H92,H96,1,8.0,12.0,1
H97,H92,1,2.0,15.0,1
H92,H97,1,8.0,12.0,1
H98,H92,1,2.0,15.0,1
H92,H98,1,8.0,12.0,1
H100,H99,1,4.0,15.0,1
H99,H100,1,8.0,12.0,1
H101,H99,1,4.0,15.0,1
H99,H101,1,8.0,12.0,1
H102,H99,1,2.0,15.0,1
H99,H102,1,8.0,12.0,1
H103,H99,1,2.0,15.0,1
H99,H103,1,8.0,12.0,1
H104,H99,1,2.0,15.0,1
H99,H104,1,8.0,12.0,1
H105,H99,1,2.0,15.0,1
H99,H105,1,8.0,12.0,1
H107,H106,1,4.0,15.0,1
H106,H107,1,8.0,12.0,1
H108,H106,1,4.0,15.0,1
H106,H108,1,8.0,12.0,1
H109,H106,1,2.0,15.0,1
H106,H109,1,8.0,12.0,1
H110,H106,1,2.0,15.0,1
H106,H110,1,8.0,12.0,1
H111,H106,1,2.0,15.0,1
H106,H111,1,8.0,12.0,1
H112,H106,1,2.0,15.0,1
H106,H112,1,8.0,12.0,1
H114,H113,1,4.0,15.0,1
H113,H114,1,8.0,12.0,1
H115,H113,1,4.0,15.0,1
H113,H115,1,8.0,12.0,1
H116,H113,1,2.0,15.0,1
H113,H116,1,8.0,12.0,1
H117,H113,1,2.0,15.0,1
H113,H117,1,8.0,12.0,1
H118,H113,1,2.0,15.0,1
H113,H118,1,8.0,12.0,1
H119,H113,1,2.0,15.0,1
H113,H119,1,8.0,12.0,1
H121,H120,1,4.0,15.0,1
H120,H121,1,8.0,12.0,1
H122,H120,1,4.0,15.0,1
H120,H122,1,8.0,12.0,1
H123,H120,1,2.0,15.0,1
H120,H123,1,8.0,12.0,1
H124,H120,1,2.0,15.0,1
H120,H124,1,8.0,12.0,1
H125,H120,1,2.0,15.0,1
H120,H125,1,8.0,12.0,1
H126,H120,1,2.0,15.0,1
H120,H126,1,8.0,12.0,1
H128,H127,1,4.0,15.0,1
H127,H128,1,8.0,12.0,1
H129,H127,1,4.0,15.0,1
H127,H129,1,8.0,12.0,1
H130,H127,1,2.0,15.0,1
H127,H130,1,8.0,12.0,1
H131,H127,1,2.0,15.0,1
H127,H131,1,8.0,12.0,1
H132,H127,1,2.0,15.0,1
H127,H132,1,8.0,12.0,1
H133,H127,1,2.0,15.0,1
H127,H133,1,8.0,12.0,1
H135,H134,1,4.0,15.0,1
H134,H135,1,8.0,12.0,1
H136,H134,1,4.0,15.0,1
H134,H136,1,8.0,12.0,1
H137,H134,1,2.0,15.0,1
H134,H137,1,8.0,12.0,1
H138,H134,1,2.0,15.0,1
H134,H138,1,8.0,12.0,1
H139,H134,1,2.0,15.0,1
H134,H139,1,8.0,12.0,1
H140,H134,1,2.0,15.0,1
H134,H140,1,8.0,12.0,1
H142,H141,1,4.0,15.0,1
H141,H142,1,8.0,12.0,1
H143,H141,1,4.0,15.0,1
H141,H143,1,8.0,12.0,1
H144,H141,1,2.0,15.0,1
H141,H144,1,8.0,12.0,1
H145,H141,1,2.0,15.0,1
H141,H145,1,8.0,12.0,1
H146,H141,1,2.0,15.0,1
H141,H146,1,8.0,12.0,1
H147,H141,1,2.0,15.0,1
H141,H147,1,8.0,12.0,1
H149,H148,1,4.0,15.0,1
H148,H149,1,8.0,12.0,1
H150,H148,1,4.0,15.0,1
H148,H150,1,8.0,12.0,1
H151,H148,1,2.0,15.0,1
H148,H151,1,8.0,12.0,1
H152,H148,1,2.0,15.0,1
H148,H152,1,8.0,12.0,1
H153,H148,1,2.0,15.0,1
H148,H153,1,8.0,12.0,1
H154,H148,1,2.0,15.0,1
H148,H154,1,8.0,12.0,1
H156,H155,1,4.0,15.0,1
H155,H156,1,8.0,12.0,1
H157,H155,1,4.0,15.0,1
H155,H157,1,8.0,12.0,1
H158,H155,1,2.0,15.0,1
H155,H158,1,8.0,12.0,1
H159,H155,1,2.0,15.0,1
H155,H159,1,8.0,12.0,1
H160,H155,1,2.0,15.0,1
H155,H160,1,8.0,12.0,1
H161,H155,1,2.0,15.0,1
H155,H161,1,8.0,12.0,1
H163,H162,1,4.0,15.0,1
H162,H163,1,8.0,12.0,1
H164,H162,1,4.0,15.0,1
H162,H164,1,8.0,12.0,1
H165,H162,1,2.0,15.0,1
H162,H165,1,8.0,12.0,1
H166,H162,1,2.0,15.0,1
H162,H166,1,8.0,12.0,1
H167,H162,1,2.0,15.0,1
H162,H167,1,8.0,12.0,1
H168,H162,1,2.0,15.0,1
H162,H168,1,8.0,12.0,1
H170,H169,1,4.0,15.0,1
H169,H170,1,8.0,12.0,1
H171,H169,1,4.0,15.0,1
H169,H171,1,8.0,12.0,1
H172,H169,1,2.0,15.0,1
H169,H172,1,8.0,12.0,1
H173,H169,1,2.0,15.0,1
H169,H173,1,8.0,12.0,1
H174,H169,1,2.0,15.0,1
H169,H174,1,8.0,12.0,1
H175,H169,1,2.0,15.0,1
H169,H175,1,8.0,12.0,1
H177,H176,1,4.0,15.0,1
H176,H177,1,8.0,12.0,1
H178,H176,1,4.0,15.0,1
H176,H178,1,8.0,12.0,1
H179,H176,1,2.0,15.0,1
H176,H179,1,8.0,12.0,1
H180,H176,1,2.0,15.0,1
H176,H180,1,8.0,12.0,1
H181,H176,1,2.0,15.0,1
H176,H181,1,8.0,12.0,1
H182,H176,1,2.0,15.0,1
H176,H182,1,8.0,12.0,1
H184,H183,1,4.0,15.0,1
H183,H184,1,8.0,12.0,1
H185,H183,1,4.0,15.0,1
H183,H185,1,8.0,12.0,1
H186,H183,1,2.0,15.0,1
H183,H186,1,8.0,12.0,1
H187,H183,1,2.0,15.0,1
H183,H187,1,8.0,12.0,1
H188,H183,1,2.0,15.0,1
H183,H188,1,8.0,12.0,1
H189,H183,1,2.0,15.0,1
H183,H189,1,8.0,12.0,1
H191,H190,1,4.0,15.0,1
H190,H191,1,8.0,12.0,1
H192,H190,1,4.0,15.0,1
H190,H192,1,8.0,12.0,1
H193,H190,1,2.0,15.0,1
H190,H193,1,8.0,12.0,1
H194,H190,1,2.0,15.0,1
H190,H194,1,8.0,12.0,1
H195,H190,1,2.0,15.0,1
H190,H195,1,8.0,12.0,1
H196,H190,1,2.0,15.0,1
H190,H196,1,8.0,12.0,1
H198,H197,1,4.0,15.0,1
H197,H198,1,8.0,12.0,1
H199,H197,1,4.0,15.0,1
H197,H199,1,8.0,12.0,1
H200,H197,1,2.0,15.0,1
H197,H200,1,8.0,12.0,1
H1,H8,1,8.0,22.0,2
H8,H1,1,8.0,22.0,2
H8,H15,1,8.0,22.0,2
H15,H8,1,8.0,22.0,2
H15,H22,1,8.0,22.0,2
H22,H15,1,8.0,22.0,2
H22,H29,1,8.0,22.0,2
H29,H22,1,8.0,22.0,2
H29,H36,1,8.0,22.0,2
H36,H29,1,8.0,22.0,2
H36,H43,1,8.0,22.0,2
H43,H36,1,8.0,22.0,2
H43,H50,1,8.0,22.0,2
H50,H43,1,8.0,22.0,2
H50,H57,1,8.0,22.0,2
H57,H50,1,8.0,22.0,2
H57,H64,1,8.0,22.0,2
H64,H57,1,8.0,22.0,2
H64,H71,1,8.0,22.0,2
H71,H64,1,8.0,22.0,2
H71,H78,1,8.0,22.0,2
H78,H71,1,8.0,22.0,2
H78,H85,1,8.0,22.0,2
H85,H78,1,8.0,22.0,2
H85,H92,1,8.0,22.0,2
H92,H85,1,8.0,22.0,2
H92,H99,1,8.0,22.0,2
H99,H92,1,8.0,22.0,2
H99,H106,1,8.0,22.0,2
H106,H99,1,8.0,22.0,2
H106,H113,1,8.0,22.0,2
H113,H106,1,8.0,22.0,2
H113,H120,1,8.0,22.0,2
H120,H113,1,8.0,22.0,2
H120,H127,1,8.0,22.0,2
H127,H120,1,8.0,22.0,2
H127,H134,1,8.0,22.0,2
H134,H127,1,8.0,22.0,2
H134,H141,1,8.0,22.0,2
H141,H134,1,8.0,22.0,2
H141,H148,1,8.0,22.0,2
H148,H141,1,8.0,22.0,2
H148,H155,1,8.0,22.0,2
H155,H148,1,8.0,22.0,2
H155,H162,1,8.0,22.0,2
H162,H155,1,8.0,22.0,2
H162,H169,1,8.0,22.0,2
H169,H162,1,8.0,22.0,2
H169,H176,1,8.0,22.0,2
H176,H169,1,8.0,22.0,2
H176,H183,1,8.0,22.0,2
H183,H176,1,8.0,22.0,2
H183,H190,1,8.0,22.0,2
H190,H183,1,8.0,22.0,2
H190,H197,1,8.0,22.0,2
H197,H190,1,8.0,22.0,2
H197,H1,1,8.0,22.0,2
H1,H197,1,8.0,22.0,2
