hospital_id,resource,base_capacity
H154,Ward,60
H155,ICU,40
H155,Ward,140
H156,ICU,20
H156,Ward,90
H157,ICU,20
H157,Ward,90
H158,ICU,10
H158,Ward,60
H159,ICU,10
H159,Ward,60
H160,ICU,10
H160,Ward,60
H161,ICU,10
H161,Ward,60
H162,ICU,40
H162,Ward,140
H163,ICU,20
H163,Ward,90
H164,ICU,20
H164,Ward,90
H165,ICU,10
H165,Ward,60
H166,ICU,10
H166,Ward,60
H167,ICU,10
H167,Ward,60
H168,ICU,10
H168,Ward,60
H169,ICU,40
H169,Ward,140
H170,ICU,20
H170,Ward,90
H171,ICU,20
H171,Ward,90
H172,ICU,10
H172,Ward,60
H173,ICU,10
H173,Ward,60
H174,ICU,10
H174,Ward,60
H175,ICU,10
H175,Ward,60
H176,ICU,40
H176,Ward,140
H177,ICU,20
H177,Ward,90
H178,ICU,20
H178,Ward,90
H179,ICU,10
H179,Ward,60
H180,ICU,10
H180,Ward,60
H181,ICU,10
H181,Ward,60
H182,ICU,10
H182,Ward,60
H183,ICU,40
H183,Ward,140
H184,ICU,20
H184,Ward,90
H185,ICU,20
H185,Ward,90
H186,ICU,10
H186,Ward,60
H187,ICU,10
H187,Ward,60
H188,ICU,10
H188,Ward,60
H189,ICU,10
H189,Ward,60
H190,ICU,40
H190,Ward,140
H191,ICU,20
H191,Ward,90
H192,ICU,20
H192,Ward,90
H193,ICU,10
H193,Ward,60
H194,ICU,10
H194,Ward,60
H195,ICU,10
H195,Ward,60
H196,ICU,10
H196,Ward,60
H197,ICU,40
H197,Ward,140
H198,ICU,20
H198,Ward,90
H199,ICU,20
H199,Ward,90
H200,ICU,10
H200,Ward,60
