day,hospital_id,cohort,min_elective,max_elective
7,H30,c3,1,5
1,H31,c3,1,5
2,H31,c3,1,5
3,H31,c3,1,5
4,H31,c3,1,5
5,H31,c3,1,5
6,H31,c3,1,5
7,H31,c3,1,5
1,H32,c3,0,3
2,H32,c3,0,3
3,H32,c3,0,3
4,H32,c3,0,3
5,H32,c3,0,3
6,H32,c3,0,3
7,H32,c3,0,3
1,H33,c3,0,3
2,H33,c3,0,3
3,H33,c3,0,3
4,H33,c3,0,3
5,H33,c3,0,3
6,H33,c3,0,3
7,H33,c3,0,3
1,H34,c3,0,3
2,H34,c3,0,3
3,H34,c3,0,3
4,H34,c3,0,3
5,H34,c3,0,3
6,H34,c3,0,3
7,H34,c3,0,3
1,H35,c3,0,3
2,H35,c3,0,3
3,H35,c3,0,3
4,H35,c3,0,3
5,H35,c3,0,3
6,H35,c3,0,3
7,H35,c3,0,3
1,H36,c3,2,8
2,H36,c3,2,8
3,H36,c3,2,8
4,H36,c3,2,8
5,H36,c3,2,8
6,H36,c3,2,8
7,H36,c3,2,8
1,H37,c3,1,5
2,H37,c3,1,5
3,H37,c3,1,5
4,H37,c3,1,5
5,H37,c3,1,5
6,H37,c3,1,5
7,H37,c3,1,5
1,H38,c3,1,5
2,H38,c3,1,5
3,H38,c3,1,5
4,H38,c3,1,5
5,H38,c3,1,5
6,H38,c3,1,5
7,H38,c3,1,5
1,H39,c3,0,3
2,H39,c3,0,3
3,H39,c3,0,3
4,H39,c3,0,3
5,H39,c3,0,3
6,H39,c3,0,3
7,H39,c3,0,3
1,H40,c3,0,3
2,H40,c3,0,3
3,H40,c3,0,3
4,H40,c3,0,3
5,H40,c3,0,3
6,H40,c3,0,3
7,H40,c3,0,3
1,H41,c3,0,3
2,H41,c3,0,3
3,H41,c3,0,3
4,H41,c3,0,3
5,H41,c3,0,3
6,H41,c3,0,3
7,H41,c3,0,3
1,H42,c3,0,3
2,H42,c3,0,3
3,H42,c3,0,3
4,H42,c3,0,3
5,H42,c3,0,3
6,H42,c3,0,3
7,H42,c3,0,3
1,H43,c3,2,8
2,H43,c3,2,8
3,H43,c3,2,8
4,H43,c3,2,8
5,H43,c3,2,8
6,H43,c3,2,8
7,H43,c3,2,8
1,H44,c3,1,5
2,H44,c3,1,5
3,H44,c3,1,5
4,H44,c3,1,5
5,H44,c3,1,5
6,H44,c3,1,5
7,H44,c3,1,5
1,H45,c3,1,5
2,H45,c3,1,5
3,H45,c3,1,5
4,H45,c3,1,5
5,H45,c3,1,5
6,H45,c3,1,5
7,H45,c3,1,5
1,H46,c3,0,3
2,H46,c3,0,3
3,H46,c3,0,3
4,H46,c3,0,3
5,H46,c3,0,3
6,H46,c3,0,3
7,H46,c3,0,3
1,H47,c3,0,3
2,H47,c3,0,3
3,H47,c3,0,3
4,H47,c3,0,3
5,H47,c3,0,3
6,H47,c3,0,3
7,H47,c3,0,3
1,H48,c3,0,3
2,H48,c3,0,3
3,H48,c3,0,3
4,H48,c3,0,3
5,H48,c3,0,3
6,H48,c3,0,3
7,H48,c3,0,3
1,H49,c3,0,3
2,H49,c3,0,3
3,H49,c3,0,3
4,H49,c3,0,3
5,H49,c3,0,3
6,H49,c3,0,3
7,H49,c3,0,3
1,H50,c3,2,8
2,H50,c3,2,8
3,H50,c3,2,8
4,H50,c3,2,8
5,H50,c3,2,8
6,H50,c3,2,8
7,H50,c3,2,8
