from_hospital,to_hospital,allowed,transfer_capacity,transfer_cost,transfer_time
H54,H50,1,2.0,15.0,1
H50,H54,1,8.0,12.0,1
H55,H50,1,2.0,15.0,1
H50,H55,1,8.0,12.0,1
H56,H50,1,2.0,15.0,1
H50,H56,1,8.0,12.0,1
H58,H57,1,4.0,15.0,1
H57,H58,1,8.0,12.0,1
H59,H57,1,4.0,15.0,1
H57,H59,1,8.0,12.0,1
H60,H57,1,2.0,15.0,1
H57,H60,1,8.0,12.0,1
H61,H57,1,2.0,15.0,1
H57,H61,1,8.0,12.0,1
H62,H57,1,2.0,15.0,1
H57,H62,1,8.0,12.0,1
H63,H57,1,2.0,15.0,1
H57,H63,1,8.0,12.0,1
H65,H64,1,4.0,15.0,1
H64,H65,1,8.0,12.0,1
H66,H64,1,4.0,15.0,1
H64,H66,1,8.0,12.0,1
H67,H64,1,2.0,15.0,1
H64,H67,1,8.0,12.0,1
H68,H64,1,2.0,15.0,1
H64,H68,1,8.0,12.0,1
H69,H64,1,2.0,15.0,1
H64,H69,1,8.0,12.0,1
H70,H64,1,2.0,15.0,1
H64,H70,1,8.0,12.0,1
H72,H71,1,4.0,15.0,1
H71,H72,1,8.0,12.0,1
H73,H71,1,4.0,15.0,1
H71,H73,1,8.0,12.0,1
H74,H71,1,2.0,15.0,1
H71,H74,1,8.0,12.0,1
H75,H71,1,2.0,15.0,1
H71,H75,1,8.0,12.0,1
H76,H71,1,2.0,15.0,1
H71,H76,1,8.0,12.0,1
H77,H71,1,2.0,15.0,1
H71,H77,1,8.0,12.0,1
H79,H78,1,4.0,15.0,1
H78,H79,1,8.0,12.0,1
H80,H78,1,4.0,15.0,1
H78,H80,1,8.0,12.0,1
H81,H78,1,2.0,15.0,1
H78,H81,1,8.0,12.0,1
H82,H78,1,2.0,15.0,1
H78,H82,1,8.0,12.0,1
H83,H78,1,2.0,15.0,1
H78,H83,1,8.0,12.0,1
H84,H78,1,2.0,15.0,1
H78,H84,1,8.0,12.0,1
H86,H85,1,4.0,15.0,1
H85,H86,1,8.0,12.0,1
H87,H85,1,4.0,15.0,1
H85,H87,1,8.0,12.0,1
H88,H85,1,2.0,15.0,1
H85,H88,1,8.0,12.0,1
H89,H85,1,2.0,15.0,1
H85,H89,1,8.0,12.0,1
H90,H85,1,2.0,15.0,1
H85,H90,1,8.0,12.0,1
H91,H85,1,2.0,15.0,1
H85,H91,1,8.0,12.0,1
H93,H92,1,4.0,15.0,1
H92,H93,1,8.0,12.0,1
H94,H92,1,4.0,15.0,1
H92,H94,1,8.0,12.0,1
H95,H92,1,2.0,15.0,1
H92,H95,1,8.0,12.0,1
H96,H92,1,2.0,15.0,1
H92,H96,1,8.0,12.0,1
H97,H92,1,2.0,15.0,1
H92,H97,1,8.0,12.0,1
H98,H92,1,2.0,15.0,1
H92,H98,1,8.0,12.0,1
H100,H99,1,4.0,15.0,1
H99,H100,1,8.0,12.0,1
H1,H8,1,8.0,22.0,2
H8,H1,1,8.0,22.0,2
H8,H15,1,8.0,22.0,2
H15,H8,1,8.0,22.0,2
H15,H22,1,8.0,22.0,2
H22,H15,1,8.0,22.0,2
H22,H29,1,8.0,22.0,2
H29,H22,1,8.0,22.0,2
H29,H36,1,8.0,22.0,2
H36,H29,1,8.0,22.0,2
H36,H43,1,8.0,22.0,2
H43,H36,1,8.0,22.0,2
H43,H50,1,8.0,22.0,2
H50,H43,1,8.0,22.0,2
H50,H57,1,8.0,22.0,2
H57,H50,1,8.0,22.0,2
H57,H64,1,8.0,22.0,2
H64,H57,1,8.0,22.0,2
H64,H71,1,8.0,22.0,2
H71,H64,1,8.0,22.0,2
H71,H78,1,8.0,22.0,2
H78,H71,1,8.0,22.0,2
H78,H85,1,8.0,22.0,2
H85,H78,1,8.0,22.0,2
H85,H92,1,8.0,22.0,2
H92,H85,1,8.0,22.0,2
H92,H99,1,8.0,22.0,2
H99,H92,1,8.0,22.0,2
H99,H1,1,8.0,22.0,2
H1,H99,1,8.0,22.0,2
